my_index;date_taken;id;link_obj
4714;1985;http://www.bildindex.de/bilder/d/fm410851;http://www.bildindex.de/document/obj20269564
4750;1987;http://www.bildindex.de/bilder/d/fm414186;http://www.bildindex.de/document/obj20269773
4760;um 1879;http://www.bildindex.de/bilder/d/fm415501;http://www.bildindex.de/document/obj20269567
4761;um 1898;http://www.bildindex.de/bilder/d/fm415510;http://www.bildindex.de/document/obj20269738
4776;1927;http://www.bildindex.de/bilder/d/fm417730;http://www.bildindex.de/document/obj20269726
4833;1933/1945;http://www.bildindex.de/bilder/d/fm420502;http://www.bildindex.de/document/obj20269477
4853;1994;http://www.bildindex.de/bilder/d/fm423983;http://www.bildindex.de/document/obj20269654
4884;1905;http://www.bildindex.de/bilder/d/fm426239;http://www.bildindex.de/document/obj20269564
4912;2001;http://www.bildindex.de/bilder/d/fm431121;http://www.bildindex.de/document/obj20161823
4914;2003;http://www.bildindex.de/bilder/d/fm431694;http://www.bildindex.de/document/obj20161823
4915;2004;http://www.bildindex.de/bilder/d/fm431872;http://www.bildindex.de/document/obj20161823
4916;2004;http://www.bildindex.de/bilder/d/fm431873;http://www.bildindex.de/document/obj20161823
5005;1960/1969;http://www.bildindex.de/bilder/d/fm432972;http://www.bildindex.de/document/obj20269773
5008;1960/1969;http://www.bildindex.de/bilder/d/fm432976;http://www.bildindex.de/document/obj20269773
5009;1960/1969;http://www.bildindex.de/bilder/d/fm432977;http://www.bildindex.de/document/obj20269773
5039;1927/1950;http://www.bildindex.de/bilder/d/fm467306;http://www.bildindex.de/document/obj20269564
5130;1901/1950;http://www.bildindex.de/bilder/d/fm467408;http://www.bildindex.de/document/obj20269564
5190;1950/1960;http://www.bildindex.de/bilder/d/fm497846;http://www.bildindex.de/document/obj20096452
5191;1955/1960;http://www.bildindex.de/bilder/d/fm497847;http://www.bildindex.de/document/obj20096452
5192;1953/1956;http://www.bildindex.de/bilder/d/fm497848;http://www.bildindex.de/document/obj20096452
5193;1953/1956;http://www.bildindex.de/bilder/d/fm497849;http://www.bildindex.de/document/obj20096452
5194;1953/1956;http://www.bildindex.de/bilder/d/fm497850;http://www.bildindex.de/document/obj20096452
5195;1950/1960;http://www.bildindex.de/bilder/d/fm497851;http://www.bildindex.de/document/obj20096452
5196;1953/1960;http://www.bildindex.de/bilder/d/fm497852;http://www.bildindex.de/document/obj20096452
5251;1956/1960;http://www.bildindex.de/bilder/d/fm497910;http://www.bildindex.de/document/obj20161823
5255;;http://www.bildindex.de/bilder/d/fm513158;http://www.bildindex.de/document/obj20648622
5275;1931?;http://www.bildindex.de/bilder/d/fm61044;http://www.bildindex.de/document/obj20161823
5301;um 1932/1940?;http://www.bildindex.de/bilder/d/fm65123;http://www.bildindex.de/document/obj20269671
5362;1937;http://www.bildindex.de/bilder/d/fm76033;http://www.bildindex.de/document/obj20269785
5363;1937;http://www.bildindex.de/bilder/d/fm76036;http://www.bildindex.de/document/obj20648770
5366;1937;http://www.bildindex.de/bilder/d/fm76044;http://www.bildindex.de/document/obj20269672
